Input Size,Run Time (ns)
0,2594
1,2493
2,3099
3,3182
4,3285
5,3276
6,3455
7,3457
8,3200
9,2879
10,3815
11,3772
12,3591
13,3248
14,3378
15,3444
16,3705
17,3411
18,2809
19,3419
20,3208
21,3256
22,5031
23,6592
24,6404
Input Size,Run Time (ns)
0,2066
1,2666
2,3490
3,3457
4,3430
5,3103
6,3110
7,2875
8,2984
9,3415
10,3166
11,3075
12,3188
13,3438
14,2999
15,3111
16,3352
17,3702
18,3814
19,3716
20,3794
21,3584
22,6337
23,7665
24,7170
Input Size,Run Time (ns)
0,2081
1,2482
2,3112
3,3161
4,3036
5,2828
6,2935
7,3081
8,3181
9,3074
10,3744
11,3448
12,3115
13,3397
14,3179
15,3459
16,3548
17,3609
18,3810
19,3737
20,3762
21,3839
22,7117
23,7188
24,6864
Input Size,Run Time (ns)
0,2820
1,2948
2,3749
3,3331
4,3345
5,3798
6,3871
7,3718
8,3778
9,3662
10,3669
11,2936
12,2856
13,3038
14,3171
15,2763
16,2724
17,2887
18,3011
19,3052
20,2971
21,3327
22,6689
23,5876
24,6209
Input Size,Run Time (ns)
0,2128
1,2363
2,2966
3,3350
4,3190
5,3440
6,3312
7,3363
8,3122
9,2977
10,3452
11,3204
12,3119
13,3078
14,2931
15,3464
16,3060
17,3224
18,3154
19,3107
20,3342
21,3403
22,5959
23,6643
24,6363
Input Size,Run Time (ns)
0,2137
1,2349
2,3372
3,3435
4,3245
5,3108
6,3313
7,3537
8,3426
9,3329
10,3587
11,3596
12,3569
13,3402
14,3187
15,3125
16,2821
17,3319
18,2939
19,3392
20,3062
21,3618
22,4750
23,6217
24,6172
Input Size,Run Time (ns)
0,2347
1,2772
2,3578
3,3391
4,3031
5,3126
6,3284
7,2942
8,3038
9,2699
10,3059
11,3176
12,2988
13,3026
14,2994
15,3194
16,3089
17,3358
18,3188
19,3656
20,3314
21,3402
22,5879
23,6956
24,6493
Input Size,Run Time (ns)
0,1757
1,2119
2,2941
3,2753
4,2685
5,2680
6,3059
7,2881
8,3112
9,2811
10,3339
11,3117
12,3218
13,3057
14,2989
15,2963
16,2945
17,3115
18,2866
19,2805
20,3352
21,3315
22,5761
23,6312
24,5968
Input Size,Run Time (ns)
0,2315
1,2440
2,3005
3,3237
4,3134
5,3110
6,3193
7,3294
8,3199
9,3811
10,3471
11,3063
12,3025
13,3294
14,3525
15,3550
16,3361
17,3519
18,3486
19,3892
20,3838
21,3562
22,5888
23,6682
24,6304
Input Size,Run Time (ns)
0,2423
1,2469
2,3568
3,2655
4,2642
5,3016
6,2779
7,2994
8,3233
9,3204
10,3359
11,3759
12,3470
13,3171
14,3261
15,3475
16,3525
17,3497
18,3289
19,3370
20,3824
21,3781
22,6938
23,6496
24,6091
